"cocktail_no","generation","solution_component_no","concentration","units","name","ph"
"C0414",8,1,0.1,"M","Magnesium chloride hexahydrate",7.5
"C0414",8,2,0.1,"M","HEPES",7.5
"C0414",8,3,20,"% (w/v)","polyethylene glycol 8000",7.5
"C0415",8,1,0.1,"M","Magnesium chloride hexahydrate",8
"C0415",8,2,0.1,"M","Tris",8
"C0415",8,3,20,"% (w/v)","polyethylene glycol 8000",8
"C0416",8,1,0.1,"M","Magnesium chloride hexahydrate",7
"C0416",8,2,0.1,"M","Bis-Tris Propane",7
"C0416",8,3,20,"% (w/v)","polyethylene glycol 8000",7
"C0417",8,1,0.1,"M","Magnesium sulfate heptahydrate",4.2
"C0417",8,2,0.1,"M","Sodium citrate tribasic dihydrate",4.2
"C0417",8,3,20,"% (w/v)","polyethylene glycol 8000",4.2
"C0418",8,1,0.1,"M","Magnesium sulfate heptahydrate",7
"C0418",8,2,0.1,"M","Bis-Tris Propane",7
"C0418",8,3,20,"% (w/v)","polyethylene glycol 8000",7
"C0419",8,1,0.1,"M","Potassium acetate",10
"C0419",8,2,0.1,"M","CAPS",10
"C0419",8,3,20,"% (w/v)","polyethylene glycol 8000",10
"C0420",8,1,0.1,"M","Potassium bromide",9
"C0420",8,2,0.1,"M","TAPS",9
"C0420",8,3,20,"% (w/v)","polyethylene glycol 8000",9
"C0421",8,1,0.1,"M","Potassium bromide",10
"C0421",8,2,0.1,"M","CAPS",10
"C0421",8,3,20,"% (w/v)","polyethylene glycol 8000",10
"C0422",8,1,0.1,"M","Potassium carbonate",10
"C0422",8,2,0.1,"M","CAPS",10
"C0422",8,3,20,"% (w/v)","polyethylene glycol 8000",10
"C0423",8,1,0.1,"M","Potassium carbonate",6
"C0423",8,2,0.1,"M","MES monohydrate",6
"C0423",8,3,20,"% (w/v)","polyethylene glycol 8000",6
"C0424",8,1,0.1,"M","Potassium chloride",5
"C0424",8,2,0.1,"M","Sodium acetate trihydrate",5
"C0424",8,3,20,"% (w/v)","polyethylene glycol 8000",5
"C0425",8,1,0.1,"M","Potassium chloride",4.2
"C0425",8,2,0.1,"M","Sodium citrate tribasic dihydrate",4.2
"C0425",8,3,20,"% (w/v)","polyethylene glycol 8000",4.2
"C0426",8,1,0.1,"M","Potassium nitrate",10
"C0426",8,2,0.1,"M","CAPS",10
"C0426",8,3,20,"% (w/v)","polyethylene glycol 8000",10
"C0427",8,1,0.1,"M","Potassium nitrate",7
"C0427",8,2,0.1,"M","Bis-Tris Propane",7
"C0427",8,3,20,"% (w/v)","polyethylene glycol 8000",7
"C0428",8,1,0.1,"M","Potassium phosphate monobasic",5
"C0428",8,2,0.1,"M","Sodium acetate trihydrate",5
"C0428",8,3,20,"% (w/v)","polyethylene glycol 8000",5
"C0429",8,1,0.1,"M","Potassium phosphate monobasic",7.5
"C0429",8,2,0.1,"M","HEPES",7.5
"C0429",8,3,20,"% (w/v)","polyethylene glycol 8000",7.5
"C0430",8,1,0.1,"M","Potassium thiocyanate",5
"C0430",8,2,0.1,"M","Sodium acetate trihydrate",5
"C0430",8,3,20,"% (w/v)","polyethylene glycol 8000",5
"C0431",8,1,0.1,"M","Rubidium chloride",7.5
"C0431",8,2,0.1,"M","HEPES",7.5
"C0431",8,3,20,"% (w/v)","polyethylene glycol 8000",7.5
"C0432",8,1,0.1,"M","Rubidium chloride",6
"C0432",8,2,0.1,"M","MES monohydrate",6
"C0432",8,3,20,"% (w/v)","polyethylene glycol 8000",6
"C0433",8,1,0.1,"M","Sodium bromide",6
"C0433",8,2,0.1,"M","MES monohydrate",6
"C0433",8,3,20,"% (w/v)","polyethylene glycol 8000",6
"C0434",8,1,0.1,"M","Sodium chloride",7.5
"C0434",8,2,0.1,"M","HEPES",7.5
"C0434",8,3,20,"% (w/v)","polyethylene glycol 8000",7.5
"C0435",8,1,0.1,"M","Sodium chloride",6
"C0435",8,2,0.1,"M","MES monohydrate",6
"C0435",8,3,20,"% (w/v)","polyethylene glycol 8000",6
"C0436",8,1,0.1,"M","Sodium molybdate dihydrate",6
"C0436",8,2,0.1,"M","MES monohydrate",6
"C0436",8,3,20,"% (w/v)","polyethylene glycol 8000",6
"C0437",8,1,0.1,"M","Sodium molybdate dihydrate",7
"C0437",8,2,0.1,"M","Bis-Tris Propane",7
"C0437",8,3,20,"% (w/v)","polyethylene glycol 8000",7
"C0438",8,1,0.1,"M","Sodium molybdate dihydrate",9
"C0438",8,2,0.1,"M","TAPS",9
"C0438",8,3,20,"% (w/v)","polyethylene glycol 8000",9
"C0439",8,1,0.1,"M","Sodium molybdate dihydrate",8
"C0439",8,2,0.1,"M","Tris",8
"C0439",8,3,20,"% (w/v)","polyethylene glycol 8000",8
"C0440",8,1,0.1,"M","Sodium nitrate",6
"C0440",8,2,0.1,"M","MES monohydrate",6
"C0440",8,3,20,"% (w/v)","polyethylene glycol 8000",6
"C0441",8,1,0.1,"M","Sodium nitrate",7
"C0441",8,2,0.1,"M","Bis-Tris Propane",7
"C0441",8,3,20,"% (w/v)","polyethylene glycol 8000",7
"C0442",8,1,0.1,"M","Sodium nitrate",4.2
"C0442",8,2,0.1,"M","Sodium citrate tribasic dihydrate",4.2
"C0442",8,3,20,"% (w/v)","polyethylene glycol 8000",4.2
"C0443",8,1,0.1,"M","Sodium nitrate",7.5
"C0443",8,2,0.1,"M","HEPES",7.5
"C0443",8,3,20,"% (w/v)","polyethylene glycol 8000",7.5
"C0444",8,1,0.1,"M","Sodium thiosulfate pentahydrate",10
"C0444",8,2,0.1,"M","CAPS",10
"C0444",8,3,20,"% (w/v)","polyethylene glycol 8000",10
"C0445",8,1,0.1,"M","Zinc acetate dihydrate",4.2
"C0445",8,2,0.1,"M","Sodium citrate tribasic dihydrate",4.2
"C0445",8,3,20,"% (w/v)","polyethylene glycol 8000",4.2
"C0446",8,1,0.1,"M","Zinc acetate dihydrate",5
"C0446",8,2,0.1,"M","Sodium acetate trihydrate",5
"C0446",8,3,20,"% (w/v)","polyethylene glycol 8000",5
"C0447",8,1,0.17,"M","Lithium sulfate monohydrate",8.5
"C0447",8,2,0.09,"M","Tris HCl",8.5
"C0447",8,3,25.5,"% (w/v)","polyethylene glycol 4000",8.5
"C0447",8,4,15,"% (v/v)","Glycerol anhydrous",8.5
"C0448",8,1,0.1,"M","Potassium phosphate dibasic anhydrous",7.5
"C0448",8,2,0.1,"M","HEPES",7.5
"C0448",8,3,20,"% (w/v)","polyethylene glycol 8000",7.5
"C0449",8,1,0.1,"M","Potassium phosphate dibasic anhydrous",4.2
"C0449",8,2,0.1,"M","Sodium citrate tribasic dihydrate",4.2
"C0449",8,3,20,"% (w/v)","polyethylene glycol 8000",4.2
"C0450",8,1,0.1,"M","Potassium phosphate dibasic anhydrous",7
"C0450",8,2,0.1,"M","Bis-Tris Propane",7
"C0450",8,3,20,"% (w/v)","polyethylene glycol 8000",7
"C0451",8,1,0.1,"M","Potassium phosphate dibasic anhydrous",8
"C0451",8,2,0.1,"M","Tris",8
"C0451",8,3,20,"% (w/v)","polyethylene glycol 8000",8
"C0452",8,1,0.1,"M","Cobalt (II) sulfate heptahydrate",4.2
"C0452",8,2,0.1,"M","Sodium citrate tribasic dihydrate",4.2
"C0452",8,3,20,"% (w/v)","polyethylene glycol 8000",4.2
"C0453",8,1,0.1,"M","Lithium sulfate monohydrate",9
"C0453",8,2,0.1,"M","TAPS",9
"C0453",8,3,20,"% (w/v)","polyethylene glycol 8000",9
"C0454",8,1,0.1,"M","Lithium sulfate monohydrate",4.2
"C0454",8,2,0.1,"M","Sodium citrate tribasic dihydrate",4.2
"C0454",8,3,20,"% (w/v)","polyethylene glycol 8000",4.2
"C0455",8,1,0.1,"M","Lithium sulfate monohydrate",8
"C0455",8,2,0.1,"M","Tris",8
"C0455",8,3,20,"% (w/v)","polyethylene glycol 8000",8
"C0456",8,1,0.1,"M","Potassium phosphate tribasic",7.5
"C0456",8,2,0.1,"M","HEPES",7.5
"C0456",8,3,20,"% (w/v)","polyethylene glycol 8000",7.5
"C0457",8,1,0.1,"M","Potassium phosphate tribasic",7
"C0457",8,2,0.1,"M","Bis-Tris Propane",7
"C0457",8,3,20,"% (w/v)","polyethylene glycol 8000",7
"C0458",8,1,0.1,"M","Potassium phosphate tribasic",4.2
"C0458",8,2,0.1,"M","Sodium citrate tribasic dihydrate",4.2
"C0458",8,3,20,"% (w/v)","polyethylene glycol 8000",4.2
"C0459",8,1,0.1,"M","Ammonium thiocyanate",8
"C0459",8,2,0.1,"M","Tris",8
"C0459",8,3,20,"% (w/v)","polyethylene glycol 8000",8
"C0460",8,1,0.1,"M","Ammonium thiocyanate",5
"C0460",8,2,0.1,"M","Sodium acetate trihydrate",5
"C0460",8,3,20,"% (w/v)","polyethylene glycol 8000",5
"C0461",8,1,0.1,"M","Ammonium thiocyanate",10
"C0461",8,2,0.1,"M","CAPS",10
"C0461",8,3,20,"% (w/v)","polyethylene glycol 8000",10
"C0462",8,1,0.1,"M","Manganese sulfate monohydrate",5
"C0462",8,2,0.1,"M","Sodium acetate trihydrate",5
"C0462",8,3,20,"% (w/v)","polyethylene glycol 8000",5
"C0463",8,1,0.07,"M","Sodium acetate trihydrate",4.6
"C0463",8,2,30,"% (v/v)","Glycerol anhydrous",4.6
"C0463",8,3,1.4,"M","Sodium formate",4.6
"C0464",8,1,0.1,"M","Magnesium nitrate hexahydrate",4.2
"C0464",8,2,0.1,"M","Sodium citrate tribasic dihydrate",4.2
"C0464",8,3,20,"% (w/v)","polyethylene glycol 8000",4.2
"C0465",8,1,0.1,"M","Magnesium nitrate hexahydrate",9
"C0465",8,2,0.1,"M","TAPS",9
"C0465",8,3,20,"% (w/v)","polyethylene glycol 8000",9
"C0466",8,1,0.1,"M","Magnesium nitrate hexahydrate",6
"C0466",8,2,0.1,"M","MES monohydrate",6
"C0466",8,3,20,"% (w/v)","polyethylene glycol 8000",6
"C0467",8,1,0.1,"M","Magnesium nitrate hexahydrate",7.5
"C0467",8,2,0.1,"M","HEPES",7.5
"C0467",8,3,20,"% (w/v)","polyethylene glycol 8000",7.5
"C0468",8,1,0.1,"M","Ammonium bromide",4.2
"C0468",8,2,0.1,"M","Sodium citrate tribasic dihydrate",4.2
"C0468",8,3,40,"% (w/v)","polyethylene glycol 8000",4.2
"C0469",8,1,0.1,"M","Ammonium bromide",7
"C0469",8,2,0.1,"M","Bis-Tris Propane",7
"C0469",8,3,40,"% (w/v)","polyethylene glycol 8000",7
"C0470",8,1,0.1,"M","Ammonium bromide",5
"C0470",8,2,0.1,"M","Sodium acetate trihydrate",5
"C0470",8,3,40,"% (w/v)","polyethylene glycol 8000",5
"C0471",8,1,0.1,"M","Ammonium chloride",5
"C0471",8,2,0.1,"M","Sodium acetate trihydrate",5
"C0471",8,3,40,"% (w/v)","polyethylene glycol 8000",5
"C0472",8,1,0.1,"M","Ammonium chloride",4.2
"C0472",8,2,0.1,"M","Sodium citrate tribasic dihydrate",4.2
"C0472",8,3,40,"% (w/v)","polyethylene glycol 8000",4.2
"C0473",8,1,0.1,"M","Ammonium chloride",8
"C0473",8,2,0.1,"M","Tris",8
"C0473",8,3,40,"% (w/v)","polyethylene glycol 8000",8
"C0474",8,1,0.1,"M","Ammonium nitrate",4.2
"C0474",8,2,0.1,"M","Sodium citrate tribasic dihydrate",4.2
"C0474",8,3,40,"% (w/v)","polyethylene glycol 8000",4.2
"C0475",8,1,0.1,"M","Ammonium nitrate",7.5
"C0475",8,2,0.1,"M","HEPES",7.5
"C0475",8,3,40,"% (w/v)","polyethylene glycol 8000",7.5
"C0476",8,1,0.1,"M","Ammonium nitrate",7
"C0476",8,2,0.1,"M","Bis-Tris Propane",7
"C0476",8,3,40,"% (w/v)","polyethylene glycol 8000",7
"C0477",8,1,0.1,"M","Ammonium phosphate monobasic",5
"C0477",8,2,0.1,"M","Sodium acetate trihydrate",5
"C0477",8,3,40,"% (w/v)","polyethylene glycol 8000",5
"C0478",8,1,0.1,"M","Ammonium phosphate monobasic",6
"C0478",8,2,0.1,"M","MES monohydrate",6
"C0478",8,3,40,"% (w/v)","polyethylene glycol 8000",6
"C0479",8,1,0.1,"M","Ammonium phosphate dibasic",5
"C0479",8,2,0.1,"M","Sodium acetate trihydrate",5
"C0479",8,3,20,"% (w/v)","polyethylene glycol 8000",5
"C0480",8,1,0.1,"M","Ammonium phosphate dibasic",7.5
"C0480",8,2,0.1,"M","HEPES",7.5
"C0480",8,3,20,"% (w/v)","polyethylene glycol 8000",7.5
"C0481",8,1,0.1,"M","Ammonium sulfate",5
"C0481",8,2,0.1,"M","Sodium acetate trihydrate",5
"C0481",8,3,40,"% (w/v)","polyethylene glycol 8000",5
"C0482",8,1,0.1,"M","Ammonium sulfate",6
"C0482",8,2,0.1,"M","MES monohydrate",6
"C0482",8,3,40,"% (w/v)","polyethylene glycol 8000",6
"C0483",8,1,0.1,"M","Ammonium sulfate",9
"C0483",8,2,0.1,"M","TAPS",9
"C0483",8,3,40,"% (w/v)","polyethylene glycol 8000",9
"C0484",8,1,0.16,"M","Magnesium acetate tetrahydrate",6.5
"C0484",8,2,16,"% (w/v)","polyethylene glycol 8000",6.5
"C0484",8,3,20,"% (v/v)","Glycerol anhydrous",6.5
"C0484",8,4,0.08,"M","Sodium cacodylate trihydrate",6.5
"C0485",8,1,0.1,"M","Calcium chloride dihydrate",6
"C0485",8,2,0.1,"M","MES monohydrate",6
"C0485",8,3,40,"% (w/v)","polyethylene glycol 8000",6
"C0486",8,1,0.1,"M","Calcium chloride dihydrate",5
"C0486",8,2,0.1,"M","Sodium acetate trihydrate",5
"C0486",8,3,40,"% (w/v)","polyethylene glycol 8000",5
"C0487",8,1,0.1,"M","Lithium bromide",4.2
"C0487",8,2,0.1,"M","Sodium citrate tribasic dihydrate",4.2
"C0487",8,3,40,"% (w/v)","polyethylene glycol 8000",4.2
"C0488",8,1,0.1,"M","Lithium bromide",9
"C0488",8,2,0.1,"M","TAPS",9
"C0488",8,3,40,"% (w/v)","polyethylene glycol 8000",9
"C0489",8,1,0.1,"M","Lithium chloride",6
"C0489",8,2,0.1,"M","MES monohydrate",6
"C0489",8,3,40,"% (w/v)","polyethylene glycol 8000",6
"C0490",8,1,0.1,"M","Lithium chloride",5
"C0490",8,2,0.1,"M","Sodium acetate trihydrate",5
"C0490",8,3,40,"% (w/v)","polyethylene glycol 8000",5
"C0491",8,1,0.1,"M","Lithium chloride",7.5
"C0491",8,2,0.1,"M","HEPES",7.5
"C0491",8,3,40,"% (w/v)","polyethylene glycol 8000",7.5
"C0492",8,1,0.1,"M","Magnesium acetate tetrahydrate",7
"C0492",8,2,0.1,"M","Bis-Tris Propane",7
"C0492",8,3,40,"% (w/v)","polyethylene glycol 8000",7
"C0493",8,1,0.1,"M","Magnesium chloride hexahydrate",5
"C0493",8,2,0.1,"M","Sodium acetate trihydrate",5
"C0493",8,3,40,"% (w/v)","polyethylene glycol 8000",5
"C0494",8,1,0.1,"M","Magnesium sulfate heptahydrate",10
"C0494",8,2,0.1,"M","CAPS",10
"C0494",8,3,20,"% (w/v)","polyethylene glycol 8000",10
"C0495",8,1,0.1,"M","Magnesium sulfate heptahydrate",7.5
"C0495",8,2,0.1,"M","HEPES",7.5
"C0495",8,3,20,"% (w/v)","polyethylene glycol 8000",7.5
"C0496",8,1,0.1,"M","Magnesium sulfate heptahydrate",5
"C0496",8,2,0.1,"M","Sodium acetate trihydrate",5
"C0496",8,3,20,"% (w/v)","polyethylene glycol 8000",5
"C0497",8,1,0.1,"M","Manganese chloride tetrahydrate",7
"C0497",8,2,0.1,"M","Bis-Tris Propane",7
"C0497",8,3,40,"% (w/v)","polyethylene glycol 8000",7
"C0498",8,1,0.1,"M","Manganese chloride tetrahydrate",5
"C0498",8,2,0.1,"M","Sodium acetate trihydrate",5
"C0498",8,3,40,"% (w/v)","polyethylene glycol 8000",5
"C0499",8,1,0.1,"M","Manganese chloride tetrahydrate",6
"C0499",8,2,0.1,"M","MES monohydrate",6
"C0499",8,3,40,"% (w/v)","polyethylene glycol 8000",6
"C0500",8,1,0.1,"M","Potassium acetate",5
"C0500",8,2,0.1,"M","Sodium acetate trihydrate",5
"C0500",8,3,40,"% (w/v)","polyethylene glycol 8000",5
"C0501",8,1,0.1,"M","Potassium acetate",7
"C0501",8,2,0.1,"M","Bis-Tris Propane",7
"C0501",8,3,40,"% (w/v)","polyethylene glycol 8000",7
"C0502",8,1,0.1,"M","Potassium bromide",7.5
"C0502",8,2,0.1,"M","HEPES",7.5
"C0502",8,3,40,"% (w/v)","polyethylene glycol 8000",7.5
"C0503",8,1,0.1,"M","Potassium bromide",7
"C0503",8,2,0.1,"M","Bis-Tris Propane",7
"C0503",8,3,40,"% (w/v)","polyethylene glycol 8000",7
"C0504",8,1,0.1,"M","Potassium bromide",8
"C0504",8,2,0.1,"M","Tris",8
"C0504",8,3,40,"% (w/v)","polyethylene glycol 8000",8
"C0505",8,1,0.1,"M","Potassium carbonate",5
"C0505",8,2,0.1,"M","Sodium acetate trihydrate",5
"C0505",8,3,40,"% (w/v)","polyethylene glycol 8000",5
"C0506",8,1,0.1,"M","Potassium carbonate",8
"C0506",8,2,0.1,"M","Tris",8
"C0506",8,3,40,"% (w/v)","polyethylene glycol 8000",8
"C0507",8,1,0.1,"M","Potassium carbonate",7.5
"C0507",8,2,0.1,"M","HEPES",7.5
"C0507",8,3,40,"% (w/v)","polyethylene glycol 8000",7.5
"C0508",8,1,0.1,"M","Potassium carbonate",10
"C0508",8,2,0.1,"M","CAPS",10
"C0508",8,3,40,"% (w/v)","polyethylene glycol 8000",10
"C0509",8,1,0.1,"M","Potassium chloride",9
"C0509",8,2,0.1,"M","TAPS",9
"C0509",8,3,40,"% (w/v)","polyethylene glycol 8000",9
"C0510",8,1,0.1,"M","Potassium chloride",10
"C0510",8,2,0.1,"M","CAPS",10
"C0510",8,3,40,"% (w/v)","polyethylene glycol 8000",10
"C0511",8,1,0.1,"M","Potassium chloride",6
"C0511",8,2,0.1,"M","MES monohydrate",6
"C0511",8,3,40,"% (w/v)","polyethylene glycol 8000",6
"C0512",8,1,0.1,"M","Potassium nitrate",9
"C0512",8,2,0.1,"M","TAPS",9
"C0512",8,3,40,"% (w/v)","polyethylene glycol 8000",9
"C0513",8,1,0.1,"M","Potassium nitrate",7.5
"C0513",8,2,0.1,"M","HEPES",7.5
"C0513",8,3,40,"% (w/v)","polyethylene glycol 8000",7.5
"C0514",8,1,0.1,"M","Potassium nitrate",8
"C0514",8,2,0.1,"M","Tris",8
"C0514",8,3,40,"% (w/v)","polyethylene glycol 8000",8
"C0515",8,1,0.1,"M","Potassium phosphate monobasic",7.5
"C0515",8,2,0.1,"M","HEPES",7.5
"C0515",8,3,40,"% (w/v)","polyethylene glycol 8000",7.5
"C0516",8,1,0.1,"M","Potassium phosphate monobasic",7
"C0516",8,2,0.1,"M","Bis-Tris Propane",7
"C0516",8,3,40,"% (w/v)","polyethylene glycol 8000",7
"C0517",8,1,0.1,"M","Potassium phosphate monobasic",4.2
"C0517",8,2,0.1,"M","Sodium citrate tribasic dihydrate",4.2
"C0517",8,3,40,"% (w/v)","polyethylene glycol 8000",4.2
"C0518",8,1,0.1,"M","Potassium phosphate monobasic",10
"C0518",8,2,0.1,"M","CAPS",10
"C0518",8,3,40,"% (w/v)","polyethylene glycol 8000",10
"C0519",8,1,0.1,"M","Potassium thiocyanate",5
"C0519",8,2,0.1,"M","Sodium acetate trihydrate",5
"C0519",8,3,40,"% (w/v)","polyethylene glycol 8000",5
"C0520",8,1,0.1,"M","Potassium thiocyanate",8
"C0520",8,2,0.1,"M","Tris",8
"C0520",8,3,40,"% (w/v)","polyethylene glycol 8000",8
"C0521",8,1,0.1,"M","Rubidium chloride",9
"C0521",8,2,0.1,"M","TAPS",9
"C0521",8,3,40,"% (w/v)","polyethylene glycol 8000",9
"C0522",8,1,0.1,"M","Rubidium chloride",10
"C0522",8,2,0.1,"M","CAPS",10
"C0522",8,3,40,"% (w/v)","polyethylene glycol 8000",10
"C0523",8,1,0.1,"M","Sodium bromide",7.5
"C0523",8,2,0.1,"M","HEPES",7.5
"C0523",8,3,40,"% (w/v)","polyethylene glycol 8000",7.5
"C0524",8,1,0.1,"M","Sodium bromide",9
"C0524",8,2,0.1,"M","TAPS",9
"C0524",8,3,40,"% (w/v)","polyethylene glycol 8000",9
"C0525",8,1,0.1,"M","Sodium bromide",10
"C0525",8,2,0.1,"M","CAPS",10
"C0525",8,3,40,"% (w/v)","polyethylene glycol 8000",10
"C0526",8,1,0.1,"M","Sodium chloride",8
"C0526",8,2,0.1,"M","Tris",8
"C0526",8,3,40,"% (w/v)","polyethylene glycol 8000",8
"C0527",8,1,0.1,"M","Sodium chloride",9
"C0527",8,2,0.1,"M","TAPS",9
"C0527",8,3,40,"% (w/v)","polyethylene glycol 8000",9
"C0528",8,1,0.1,"M","Sodium chloride",6
"C0528",8,2,0.1,"M","MES monohydrate",6
"C0528",8,3,40,"% (w/v)","polyethylene glycol 8000",6
"C0529",8,1,0.1,"M","Sodium nitrate",4.2
"C0529",8,2,0.1,"M","Sodium citrate tribasic dihydrate",4.2
"C0529",8,3,40,"% (w/v)","polyethylene glycol 8000",4.2
"C0530",8,1,0.1,"M","Sodium phosphate monobasic",8
"C0530",8,2,0.1,"M","Tris",8
"C0530",8,3,40,"% (w/v)","polyethylene glycol 8000",8
"C0531",8,1,0.1,"M","Sodium phosphate monobasic",6
"C0531",8,2,0.1,"M","MES monohydrate",6
"C0531",8,3,40,"% (w/v)","polyethylene glycol 8000",6
"C0532",8,1,0.1,"M","Sodium phosphate monobasic",7
"C0532",8,2,0.1,"M","Bis-Tris Propane",7
"C0532",8,3,40,"% (w/v)","polyethylene glycol 8000",7
"C0533",8,1,0.1,"M","Sodium thiosulfate pentahydrate",10
"C0533",8,2,0.1,"M","CAPS",10
"C0533",8,3,40,"% (w/v)","polyethylene glycol 8000",10
"C0534",8,1,0.1,"M","Sodium thiosulfate pentahydrate",9
"C0534",8,2,0.1,"M","TAPS",9
"C0534",8,3,40,"% (w/v)","polyethylene glycol 8000",9
"C0535",8,1,0.1,"M","Sodium thiosulfate pentahydrate",8
"C0535",8,2,0.1,"M","Tris",8
"C0535",8,3,40,"% (w/v)","polyethylene glycol 8000",8
"C0536",8,1,0.1,"M","Zinc acetate dihydrate",6
"C0536",8,2,0.1,"M","MES monohydrate",6
"C0536",8,3,40,"% (w/v)","polyethylene glycol 8000",6
"C0537",8,1,0.1,"M","Zinc acetate dihydrate",8
"C0537",8,2,0.1,"M","Tris",8
"C0537",8,3,40,"% (w/v)","polyethylene glycol 8000",8
"C0538",8,1,0.1,"M","Potassium phosphate dibasic anhydrous",5
"C0538",8,2,0.1,"M","Sodium acetate trihydrate",5
"C0538",8,3,20,"% (w/v)","polyethylene glycol 8000",5
"C0539",8,1,0.1,"M","Lithium sulfate monohydrate",5
"C0539",8,2,0.1,"M","Sodium acetate trihydrate",5
"C0539",8,3,40,"% (w/v)","polyethylene glycol 8000",5
"C0540",8,1,0.1,"M","Lithium sulfate monohydrate",7
"C0540",8,2,0.1,"M","Bis-Tris Propane",7
"C0540",8,3,40,"% (w/v)","polyethylene glycol 8000",7
"C0541",8,1,0.1,"M","Lithium sulfate monohydrate",9
"C0541",8,2,0.1,"M","TAPS",9
"C0541",8,3,40,"% (w/v)","polyethylene glycol 8000",9
"C0542",8,1,0.08,"M","Tris HCl",8.5
"C0542",8,2,20,"% (v/v)","Glycerol anhydrous",8.5
"C0542",8,3,24,"% (v/v)","Iso-propanol",8.5
"C0542",8,4,0.16,"M","Ammonium acetate",8.5
"C0543",8,1,0.1,"M","Potassium phosphate tribasic",5
"C0543",8,2,0.1,"M","Sodium acetate trihydrate",5
"C0543",8,3,20,"% (w/v)","polyethylene glycol 8000",5
"C0544",8,1,0.1,"M","Ammonium thiocyanate",4.2
"C0544",8,2,0.1,"M","Sodium citrate tribasic dihydrate",4.2
"C0544",8,3,40,"% (w/v)","polyethylene glycol 8000",4.2
"C0545",8,1,0.1,"M","Ammonium thiocyanate",6
"C0545",8,2,0.1,"M","MES monohydrate",6
"C0545",8,3,40,"% (w/v)","polyethylene glycol 8000",6
"C0546",8,1,0.1,"M","Manganese sulfate monohydrate",6
"C0546",8,2,0.1,"M","MES monohydrate",6
"C0546",8,3,40,"% (w/v)","polyethylene glycol 8000",6
"C0547",8,1,0.1,"M","Ammonium bromide",10
"C0547",8,2,0.1,"M","CAPS",10
"C0547",8,3,20,"% (w/v)","polyethylene glycol 4000",10
"C0548",8,1,0.1,"M","Ammonium bromide",8
"C0548",8,2,0.1,"M","Tris",8
"C0548",8,3,20,"% (w/v)","polyethylene glycol 4000",8
"C0549",8,1,0.1,"M","Ammonium chloride",10
"C0549",8,2,0.1,"M","CAPS",10
"C0549",8,3,20,"% (w/v)","polyethylene glycol 4000",10
"C0550",8,1,0.1,"M","Ammonium chloride",5
"C0550",8,2,0.1,"M","Sodium acetate trihydrate",5
"C0550",8,3,20,"% (w/v)","polyethylene glycol 4000",5
"C0551",8,1,0.1,"M","Ammonium nitrate",8
"C0551",8,2,0.1,"M","Tris",8
"C0551",8,3,20,"% (w/v)","polyethylene glycol 4000",8
"C0552",8,1,0.1,"M","Ammonium phosphate monobasic",9
"C0552",8,2,0.1,"M","TAPS",9
"C0552",8,3,20,"% (w/v)","polyethylene glycol 4000",9
"C0553",8,1,0.1,"M","Ammonium phosphate monobasic",4.2
"C0553",8,2,0.1,"M","Sodium citrate tribasic dihydrate",4.2
"C0553",8,3,20,"% (w/v)","polyethylene glycol 4000",4.2
"C0554",8,1,0.1,"M","Ammonium phosphate monobasic",7
"C0554",8,2,0.1,"M","Bis-Tris Propane",7
"C0554",8,3,20,"% (w/v)","polyethylene glycol 4000",7
"C0555",8,1,0.1,"M","Ammonium phosphate dibasic",4.2
"C0555",8,2,0.1,"M","Sodium citrate tribasic dihydrate",4.2
"C0555",8,3,20,"% (w/v)","polyethylene glycol 4000",4.2
"C0556",8,1,0.1,"M","Ammonium phosphate dibasic",9
"C0556",8,2,0.1,"M","TAPS",9
"C0556",8,3,20,"% (w/v)","polyethylene glycol 4000",9
"C0557",8,1,0.1,"M","Ammonium phosphate dibasic",7
"C0557",8,2,0.1,"M","Bis-Tris Propane",7
"C0557",8,3,20,"% (w/v)","polyethylene glycol 4000",7
"C0558",8,1,0.1,"M","Ammonium sulfate",7.5
"C0558",8,2,0.1,"M","HEPES",7.5
"C0558",8,3,20,"% (w/v)","polyethylene glycol 4000",7.5
"C0559",8,1,0.1,"M","Ammonium sulfate",9
"C0559",8,2,0.1,"M","TAPS",9
"C0559",8,3,20,"% (w/v)","polyethylene glycol 4000",9
"C0560",8,1,0.1,"M","Calcium acetate",7
"C0560",8,2,0.1,"M","Bis-Tris Propane",7
"C0560",8,3,20,"% (w/v)","polyethylene glycol 4000",7
"C0561",8,1,0.1,"M","Calcium chloride dihydrate",5
"C0561",8,2,0.1,"M","Sodium acetate trihydrate",5
"C0561",8,3,20,"% (w/v)","polyethylene glycol 4000",5
"C0562",8,1,0.1,"M","Calcium chloride dihydrate",7.5
"C0562",8,2,0.1,"M","HEPES",7.5
"C0562",8,3,20,"% (w/v)","polyethylene glycol 4000",7.5
"C0563",8,1,0.1,"M","Lithium bromide",5
"C0563",8,2,0.1,"M","Sodium acetate trihydrate",5
"C0563",8,3,20,"% (w/v)","polyethylene glycol 4000",5
"C0564",8,1,0.1,"M","Lithium bromide",8
"C0564",8,2,0.1,"M","Tris",8
"C0564",8,3,20,"% (w/v)","polyethylene glycol 4000",8
"C0565",8,1,0.1,"M","Lithium chloride",8
"C0565",8,2,0.1,"M","Tris",8
"C0565",8,3,20,"% (w/v)","polyethylene glycol 4000",8
